,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
94,Marble Hill,40.87655077879964,-73.91065965862981,Applebee's Grill + Bar,40.87368548,-73.90892769,American Restaurant
95,Marble Hill,40.87655077879964,-73.91065965862981,Grill 26 at TCR,40.878802209517126,-73.9156723022461,American Restaurant
96,Marble Hill,40.87655077879964,-73.91065965862981,Auntie Anne's #210,40.877600559914384,-73.90488596548055,Snack Place
97,Woodlawn,40.89827261213805,-73.86731496814176,Katonah Pizza and Pasta,40.89878411126604,-73.86745706580207,Pizza Place
98,Woodlawn,40.89827261213805,-73.86731496814176,Curry Spot,40.897624941880906,-73.86714729157393,Indian Restaurant
99,Woodlawn,40.89827261213805,-73.86731496814176,Patrizia's Of Woodlawn,40.900638399332884,-73.86772361835486,Italian Restaurant
100,Woodlawn,40.89827261213805,-73.86731496814176,The Chipper Truck,40.899619499543256,-73.87147353617637,Food Truck
101,Woodlawn,40.89827261213805,-73.86731496814176,Sean's Quality Deli,40.897669,-73.86744499999999,Deli / Bodega
102,Woodlawn,40.89827261213805,-73.86731496814176,Dunkin',40.896036409903786,-73.86357007637196,Donut Shop
103,Woodlawn,40.89827261213805,-73.86731496814176,Linda's Pizza,40.900013,-73.867388,Pizza Place
104,Woodlawn,40.89827261213805,-73.86731496814176,Bella Napoli 2,40.896781,-73.867338,Pizza Place
105,Woodlawn,40.89827261213805,-73.86731496814176,Greenland Deli,40.89893285260015,-73.86754566531529,Deli / Bodega
106,Woodlawn,40.89827261213805,-73.86731496814176,Angelica's Bakery,40.89918283532642,-73.867552759052,Bakery
107,Woodlawn,40.89827261213805,-73.86731496814176,The Kitchen,40.899733,-73.867408,American Restaurant
108,Woodlawn,40.89827261213805,-73.86731496814176,Woodlawn Deli,40.897045,-73.86737,Deli / Bodega
109,Woodlawn,40.89827261213805,-73.86731496814176,Tri-Edys Deli,40.900073,-73.867977,Deli / Bodega
110,Woodlawn,40.89827261213805,-73.86731496814176,The Corner Scone,40.898598,-73.862579,Deli / Bodega
111,Woodlawn,40.89827261213805,-73.86731496814176,Bella Napoli 2,40.89672979186445,-73.86231986737155,Pizza Place
112,Norwood,40.87722415599446,-73.8793907395681,Sal's Pizzeria,40.875269350530566,-73.87956260705728,Pizza Place
113,Norwood,40.87722415599446,-73.8793907395681,Marconi Pizzeria,40.880766406357665,-73.87780801932352,Pizza Place
114,Norwood,40.87722415599446,-73.8793907395681,Queen of Tacos,40.8802,-73.883434,Mexican Restaurant
115,Norwood,40.87722415599446,-73.8793907395681,Tasty Picks,40.88166538639227,-73.8794837670074,Deli / Bodega
116,Norwood,40.87722415599446,-73.8793907395681,V.I.P.'S Cafe,40.88156582814303,-73.87929923711168,Restaurant
117,Norwood,40.87722415599446,-73.8793907395681,Golden Krust Caribbean Restaurant,40.881671999999995,-73.878996,Caribbean Restaurant
118,Norwood,40.87722415599446,-73.8793907395681,SUBWAY,40.87281809506911,-73.87831163680261,Sandwich Place
119,Norwood,40.87722415599446,-73.8793907395681,Domino's Pizza,40.8728801654325,-73.87815088033676,Pizza Place
120,Norwood,40.87722415599446,-73.8793907395681,Nicky's Pizza & Ristorante,40.87337458632297,-73.88050846237203,Pizza Place
121,Norwood,40.87722415599446,-73.8793907395681,McDonald's,40.872894,-73.878677,Fast Food Restaurant
122,Norwood,40.87722415599446,-73.8793907395681,Green Apple Deli & Grocery,40.875576,-73.87921,Deli / Bodega
123,Norwood,40.87722415599446,-73.8793907395681,Mar y Tierra Restaurant and Lounge,40.876705169677734,-73.87953186035156,Mexican Restaurant
124,Norwood,40.87722415599446,-73.8793907395681,M & R Pizza,40.88057929014473,-73.8832210222942,Pizza Place
